,0
0,-22.67521187071145
1,-22.609031979131576
2,-22.542852087551704
3,-22.47667219597183
4,-22.41049230439196
5,-22.344312412812084
6,-22.278132521232212
7,-22.211952629652338
8,-22.145772738072466
9,-22.07959284649259
10,-22.01341295491272
11,-21.947233063332845
12,-21.881053171752974
13,-21.8148732801731
14,-21.748693388593228
15,-21.682513497013353
16,-21.616333605433482
17,-21.550153713853607
18,-21.483973822273732
19,-21.41779393069386
20,-21.351614039113986
21,-21.285434147534115
22,-21.21925425595424
23,-21.15307436437437
24,-21.086894472794494
25,-21.020714581214623
26,-20.954534689634748
27,-20.888354798054877
28,-20.822174906475002
29,-20.75599501489513
30,-20.689815123315256
31,-20.623635231735385
32,-20.55745534015551
33,-20.49127544857564
34,-20.425095556995764
35,-20.358915665415893
36,-20.292735773836018
37,-20.226555882256143
38,-20.160375990676272
39,-20.094196099096397
40,-20.028016207516526
41,-19.96183631593665
42,-19.89565642435678
43,-19.829476532776905
44,-19.763296641197034
45,-19.69711674961716
46,-19.630936858037288
47,-19.564756966457413
48,-19.49857707487754
49,-19.432397183297667
50,-19.366217291717795
51,-19.30003740013792
52,-19.23385750855805
53,-19.167677616978175
54,-19.101497725398303
55,-19.03531783381843
56,-18.969137942238554
57,-18.902958050658683
58,-18.836778159078808
59,-18.770598267498936
60,-18.70441837591906
61,-18.63823848433919
62,-18.572058592759316
63,-18.505878701179444
64,-18.43969880959957
65,-18.3735189180197
66,-18.307339026439823
67,-18.241159134859952
68,-18.174979243280077
69,-18.108799351700206
70,-18.04261946012033
71,-17.976439568540457
72,-17.910259676960585
73,-17.844079785380714
74,-17.77789989380084
75,-17.711720002220964
76,-17.645540110641093
77,-17.579360219061222
78,-17.513180327481347
79,-17.447000435901472
80,-17.3808205443216
81,-17.314640652741726
82,-17.248460761161855
83,-17.18228086958198
84,-17.11610097800211
85,-17.049921086422234
86,-16.983741194842363
87,-16.917561303262488
88,-16.851381411682617
89,-16.785201520102742
90,-16.719021628522867
91,-16.652841736942996
92,-16.586661845363125
93,-16.52048195378325
94,-16.454302062203375
95,-16.388122170623504
96,-16.321942279043633
97,-16.255762387463758
98,-16.189582495883883
99,-16.12340260430401
100,-16.057222712724137
101,-15.991042821144266
102,-15.92486292956439
103,-15.85868303798452
104,-15.792503146404645
105,-15.726323254824774
106,-15.660143363244899
107,-15.593963471665026
108,-15.527783580085153
109,-15.46160368850528
110,-15.395423796925407
111,-15.329243905345534
112,-15.26306401376566
113,-15.196884122185788
114,-15.130704230605915
115,-15.06452433902604
116,-14.998344447446168
117,-14.932164555866294
118,-14.865984664286422
119,-14.799804772706548
120,-14.733624881126676
121,-14.667444989546802
122,-14.601265097966929
123,-14.535085206387055
124,-14.468905314807182
125,-14.40272542322731
126,-14.336545531647436
127,-14.270365640067563
128,-14.20418574848769
129,-14.138005856907817
130,-14.071825965327944
131,-14.005646073748071
132,-13.939466182168198
133,-13.873286290588325
134,-13.807106399008452
135,-13.74092650742858
136,-13.674746615848706
137,-13.608566724268833
138,-13.542386832688958
139,-13.476206941109085
140,-13.410027049529212
141,-13.34384715794934
142,-13.277667266369466
143,-13.211487374789593
144,-13.14530748320972
145,-13.079127591629847
146,-13.012947700049974
147,-12.946767808470101
148,-12.880587916890228
149,-12.814408025310355
150,-12.748228133730482
151,-12.682048242150609
152,-12.615868350570736
153,-12.549688458990863
154,-12.48350856741099
155,-12.417328675831117
156,-12.351148784251242
157,-12.284968892671369
158,-12.218789001091496
159,-12.152609109511623
160,-12.08642921793175
161,-12.020249326351877
162,-11.954069434772004
163,-11.88788954319213
164,-11.821709651612258
165,-11.755529760032385
166,-11.689349868452512
167,-11.623169976872639
168,-11.556990085292766
169,-11.490810193712893
170,-11.42463030213302
171,-11.358450410553147
172,-11.292270518973273
173,-11.2260906273934
174,-11.159910735813526
175,-11.093730844233653
176,-11.02755095265378
177,-10.961371061073907
178,-10.895191169494034
179,-10.82901127791416
180,-10.762831386334287
181,-10.696651494754414
182,-10.630471603174541
183,-10.564291711594668
184,-10.498111820014795
185,-10.431931928434922
186,-10.36575203685505
187,-10.299572145275176
188,-10.233392253695303
189,-10.16721236211543
190,-10.101032470535557
191,-10.034852578955684
192,-9.968672687375811
193,-9.902492795795936
194,-9.836312904216063
195,-9.77013301263619
196,-9.703953121056317
197,-9.637773229476444
198,-9.571593337896571
199,-9.505413446316698
200,-9.439233554736825
201,-9.373053663156952
202,-9.306873771577079
203,-9.240693879997206
