,0
0,110.59818797465981
1,110.59633705160986
2,110.59448612855994
3,110.59263520550999
4,110.59078428246006
5,110.58893335941012
6,110.58708243636018
7,110.58523151331025
8,110.5833805902603
9,110.58152966721038
10,110.57967874416043
11,110.57782782111049
12,110.57597689806056
13,110.57412597501062
14,110.57227505196069
15,110.57042412891074
16,110.5685732058608
17,110.56672228281087
18,110.56487135976093
19,110.563020436711
20,110.56116951366106
21,110.55931859061111
22,110.55746766756118
23,110.55561674451124
24,110.55376582146131
25,110.55191489841137
26,110.55006397536143
27,110.5482130523115
28,110.54636212926155
29,110.54451120621162
30,110.54266028316168
31,110.54080936011174
32,110.53895843706181
33,110.53710751401186
34,110.53525659096194
35,110.53340566791199
36,110.53155474486205
37,110.52970382181212
38,110.52785289876218
39,110.52600197571225
40,110.5241510526623
41,110.52230012961238
42,110.52044920656243
43,110.51859828351249
44,110.51674736046256
45,110.51489643741262
46,110.51304551436269
47,110.51119459131274
48,110.5093436682628
49,110.50749274521287
50,110.50564182216293
51,110.503790899113
52,110.50193997606306
53,110.50008905301311
54,110.49823812996318
55,110.49638720691324
56,110.49453628386331
57,110.49268536081337
58,110.49083443776343
59,110.4889835147135
60,110.48713259166355
61,110.48528166861362
62,110.48343074556368
63,110.48157982251374
64,110.47972889946381
65,110.47787797641386
66,110.47602705336394
67,110.47417613031399
68,110.47232520726405
69,110.47047428421412
70,110.46862336116418
71,110.46677243811425
72,110.4649215150643
73,110.46307059201436
74,110.46121966896443
75,110.45936874591449
76,110.45751782286456
77,110.45566689981462
78,110.45381597676467
79,110.45196505371474
80,110.4501141306648
81,110.44826320761487
82,110.44641228456493
83,110.44456136151499
84,110.44271043846506
85,110.44085951541511
86,110.43900859236518
87,110.43715766931524
88,110.4353067462653
89,110.43345582321537
90,110.43160490016542
91,110.4297539771155
92,110.42790305406555
93,110.42605213101561
94,110.42420120796568
95,110.42235028491574
96,110.42049936186581
97,110.41864843881586
98,110.41679751576592
99,110.41494659271599
100,110.41309566966605
101,110.41124474661612
102,110.40939382356618
103,110.40754290051623
104,110.4056919774663
105,110.40384105441636
106,110.40199013136643
107,110.40013920831649
108,110.39828828526655
109,110.39643736221662
110,110.39458643916667
111,110.39273551611674
112,110.3908845930668
113,110.38903367001687
114,110.38718274696693
115,110.38533182391699
116,110.38348090086706
117,110.38162997781711
118,110.37977905476718
119,110.37792813171724
120,110.3760772086673
121,110.37422628561737
122,110.37237536256742
123,110.3705244395175
124,110.36867351646755
125,110.36682259341761
126,110.36497167036768
127,110.36312074731774
128,110.36126982426781
129,110.35941890121786
130,110.35756797816792
131,110.35571705511799
132,110.35386613206805
133,110.35201520901812
134,110.35016428596818
135,110.34831336291823
136,110.3464624398683
137,110.34461151681836
138,110.34276059376843
139,110.34090967071849
140,110.33905874766855
141,110.33720782461862
142,110.33535690156867
143,110.33350597851874
144,110.3316550554688
145,110.32980413241886
146,110.32795320936893
147,110.32610228631899
148,110.32425136326906
149,110.32240044021911
150,110.32054951716917
151,110.31869859411924
152,110.3168476710693
153,110.31499674801937
154,110.31314582496942
155,110.31129490191948
156,110.30944397886955
157,110.30759305581961
158,110.30574213276968
159,110.30389120971974
160,110.3020402866698
161,110.30018936361986
162,110.29833844056992
163,110.29648751751999
164,110.29463659447005
165,110.2927856714201
166,110.29093474837018
167,110.28908382532023
168,110.2872329022703
169,110.28538197922036
170,110.28353105617042
171,110.28168013312049
172,110.27982921007055
173,110.27797828702062
174,110.27612736397067
175,110.27427644092073
176,110.2724255178708
177,110.27057459482086
178,110.26872367177093
179,110.26687274872098
180,110.26502182567104
181,110.26317090262111
182,110.26131997957117
183,110.25946905652124
184,110.2576181334713
185,110.25576721042135
186,110.25391628737142
187,110.25206536432148
188,110.25021444127155
189,110.24836351822161
190,110.24651259517168
191,110.24466167212174
192,110.2428107490718
193,110.24095982602186
194,110.23910890297192
195,110.23725797992199
196,110.23540705687205
197,110.2335561338221
198,110.23170521077218
199,110.22985428772223
200,110.2280033646723
201,110.22615244162236
202,110.22430151857242
203,110.22245059552249
204,110.22059967247255
205,110.21874874942262
206,110.21689782637267
207,110.21504690332273
208,110.2131959802728
209,110.21134505722286
210,110.20949413417293
211,110.20764321112298
212,110.20579228807304
213,110.20394136502311
214,110.20209044197317
215,110.20023951892324
216,110.1983885958733
217,110.19653767282335
218,110.19468674977342
219,110.19283582672348
220,110.19098490367355
221,110.18913398062361
222,110.18728305757367
223,110.18543213452374
224,110.1835812114738
225,110.18173028842386
226,110.17987936537392
227,110.17802844232398
228,110.17617751927405
229,110.1743265962241
230,110.17247567317418
231,110.17062475012423
232,110.16877382707429
233,110.16692290402436
234,110.16507198097442
235,110.16322105792449
236,110.16137013487455
237,110.1595192118246
238,110.15766828877467
239,110.15581736572473
240,110.1539664426748
241,110.15211551962486
242,110.15026459657491
243,110.14841367352498
244,110.14656275047504
245,110.14471182742511
246,110.14286090437517
247,110.14100998132523
248,110.1391590582753
249,110.13730813522535
250,110.13545721217542
251,110.13360628912548
252,110.13175536607554
253,110.12990444302561
254,110.12805351997567
255,110.12620259692574
256,110.1243516738758
257,110.12250075082585
258,110.12064982777592
259,110.11879890472598
260,110.11694798167605
261,110.1150970586261
262,110.11324613557618
263,110.11139521252623
264,110.10954428947629
265,110.10769336642636
266,110.10584244337642
267,110.10399152032649
268,110.10214059727655
269,110.1002896742266
270,110.09843875117667
271,110.09658782812673
272,110.0947369050768
273,110.09288598202686
274,110.09103505897691
275,110.08918413592698
276,110.08733321287704
277,110.08548228982711
278,110.08363136677717
279,110.08178044372723
280,110.0799295206773
281,110.07807859762735
282,110.07622767457742
283,110.07437675152748
284,110.07252582847754
285,110.07067490542761
286,110.06882398237767
287,110.06697305932774
288,110.0651221362778
289,110.06327121322785
290,110.06142029017792
291,110.05956936712798
292,110.05771844407805
293,110.0558675210281
294,110.05401659797816
295,110.05216567492823
296,110.05031475187829
297,110.04846382882836
298,110.04661290577842
299,110.04476198272847
300,110.04291105967854
301,110.0410601366286
302,110.03920921357867
303,110.03735829052873
304,110.03550736747879
305,110.03365644442886
306,110.03180552137891
307,110.02995459832898
308,110.02810367527904
309,110.0262527522291
310,110.02440182917917
311,110.02255090612923
312,110.0206999830793
313,110.01884906002935
314,110.01699813697941
315,110.01514721392948
316,110.01329629087954
317,110.01144536782961
318,110.00959444477967
319,110.00774352172972
320,110.0058925986798
321,110.00404167562985
322,110.00219075257992
323,110.00033982952998
324,109.99848890648003
325,109.9966379834301
326,109.99478706038016
327,109.99293613733023
328,109.99108521428029
329,109.98923429123035
330,109.98738336818042
331,109.98553244513047
332,109.98368152208054
333,109.9818305990306
334,109.97997967598066
335,109.97812875293073
336,109.97627782988079
337,109.97442690683086
338,109.97257598378091
339,109.97072506073098
340,109.96887413768104
341,109.9670232146311
342,109.96517229158117
343,109.96332136853123
344,109.9614704454813
345,109.95961952243135
346,109.95776859938141
347,109.95591767633148
348,109.95406675328154
349,109.95221583023161
350,109.95036490718167
351,109.94851398413172
352,109.9466630610818
353,109.94481213803185
354,109.94296121498192
355,109.94111029193198
356,109.93925936888203
357,109.9374084458321
358,109.93555752278216
359,109.93370659973223
360,109.93185567668229
361,109.93000475363235
362,109.92815383058242
363,109.92630290753247
364,109.92445198448254
365,109.9226010614326
366,109.92075013838266
367,109.91889921533273
368,109.91704829228279
369,109.91519736923286
370,109.91334644618291
371,109.91149552313297
372,109.90964460008304
373,109.9077936770331
374,109.90594275398317
375,109.90409183093323
376,109.90224090788328
377,109.90038998483335
378,109.89853906178341
379,109.89668813873348
380,109.89483721568354
381,109.8929862926336
382,109.89113536958367
383,109.88928444653372
384,109.8874335234838
385,109.88558260043385
386,109.8837316773839
387,109.88188075433398
388,109.88002983128403
389,109.8781789082341
390,109.87632798518416
391,109.87447706213422
392,109.87262613908429
393,109.87077521603435
394,109.86892429298442
395,109.86707336993447
396,109.86522244688453
397,109.8633715238346
398,109.86152060078466
399,109.85966967773473
400,109.85781875468479
401,109.85596783163484
402,109.85411690858491
403,109.85226598553497
404,109.85041506248504
405,109.8485641394351
406,109.84671321638515
407,109.84486229333523
408,109.84301137028528
409,109.84116044723535
410,109.83930952418541
411,109.83745860113547
412,109.83560767808554
413,109.8337567550356
414,109.83190583198567
415,109.83005490893572
416,109.82820398588579
417,109.82635306283585
418,109.8245021397859
419,109.82265121673598
420,109.82080029368603
421,109.8189493706361
422,109.81709844758616
423,109.81524752453622
424,109.81339660148629
425,109.81154567843635
426,109.80969475538642
427,109.80784383233647
428,109.80599290928653
429,109.8041419862366
430,109.80229106318666
431,109.80044014013673
432,109.79858921708679
433,109.79673829403684
434,109.79488737098691
435,109.79303644793697
436,109.79118552488704
437,109.7893346018371
438,109.78748367878715
439,109.78563275573723
440,109.78378183268728
441,109.78193090963735
442,109.78007998658741
443,109.77822906353747
444,109.77637814048754
445,109.7745272174376
446,109.77267629438767
447,109.77082537133772
448,109.76897444828778
449,109.76712352523785
450,109.7652726021879
451,109.76342167913798
452,109.76157075608803
453,109.75971983303809
454,109.75786890998816
455,109.75601798693822
456,109.75416706388829
457,109.75231614083835
458,109.7504652177884
459,109.74861429473847
460,109.74676337168853
461,109.7449124486386
462,109.74306152558866
463,109.74121060253871
464,109.73935967948879
465,109.73750875643884
466,109.73565783338891
467,109.73380691033897
468,109.73195598728903
469,109.7301050642391
470,109.72825414118915
471,109.72640321813923
472,109.72455229508928
473,109.72270137203934
474,109.72085044898941
475,109.71899952593947
476,109.71714860288954
477,109.7152976798396
478,109.71344675678965
479,109.71159583373972
480,109.70974491068978
481,109.70789398763985
482,109.7060430645899
483,109.70419214153996
484,109.70234121849003
485,109.70049029544009
486,109.69863937239016
487,109.69678844934022
488,109.69493752629029
489,109.69308660324035
490,109.6912356801904
491,109.68938475714047
492,109.68753383409053
493,109.6856829110406
494,109.68383198799066
495,109.68198106494071
496,109.68013014189079
497,109.67827921884084
498,109.67642829579091
499,109.67457737274097
500,109.67272644969103
501,109.6708755266411
502,109.66902460359115
503,109.66717368054123
504,109.66532275749128
505,109.66347183444134
506,109.66162091139141
507,109.65976998834147
508,109.65791906529154
509,109.6560681422416
510,109.65421721919165
511,109.65236629614172
512,109.65051537309178
513,109.64866445004185
514,109.6468135269919
515,109.64496260394196
516,109.64311168089203
517,109.64126075784209
518,109.63940983479216
519,109.63755891174222
520,109.63570798869227
521,109.63385706564235
522,109.6320061425924
523,109.63015521954247
524,109.62830429649253
525,109.62645337344259
526,109.62460245039266
527,109.62275152734271
528,109.62090060429279
529,109.61904968124284
530,109.6171987581929
531,109.61534783514297
532,109.61349691209303
533,109.6116459890431
534,109.60979506599315
535,109.60794414294321
536,109.60609321989328
537,109.60424229684334
538,109.60239137379341
539,109.60054045074347
540,109.59868952769352
541,109.5968386046436
542,109.59498768159365
543,109.59313675854372
544,109.59128583549378
545,109.58943491244383
546,109.5875839893939
547,109.58573306634396
548,109.58388214329403
549,109.58203122024409
550,109.58018029719415
551,109.57832937414422
552,109.57647845109427
553,109.57462752804435
554,109.5727766049944
555,109.57092568194446
556,109.56907475889453
557,109.56722383584459
558,109.56537291279466
559,109.56352198974471
560,109.56167106669477
561,109.55982014364484
562,109.5579692205949
563,109.55611829754497
564,109.55426737449503
565,109.5524164514451
566,109.55056552839515
567,109.54871460534521
568,109.54686368229528
569,109.54501275924534
570,109.54316183619541
571,109.54131091314547
572,109.53945999009552
573,109.5376090670456
574,109.53575814399565
575,109.53390722094572
576,109.53205629789578
577,109.53020537484583
578,109.5283544517959
579,109.52650352874596
580,109.52465260569603
581,109.52280168264609
582,109.52095075959615
583,109.51909983654622
584,109.51724891349627
585,109.51539799044635
586,109.5135470673964
587,109.51169614434646
588,109.50984522129653
589,109.50799429824659
590,109.50614337519666
591,109.50429245214671
592,109.50244152909677
593,109.50059060604684
594,109.4987396829969
595,109.49688875994697
596,109.49503783689703
597,109.49318691384708
598,109.49133599079715
599,109.48948506774721
600,109.48763414469728
601,109.48578322164734
602,109.4839322985974
603,109.48208137554747
604,109.48023045249752
605,109.4783795294476
606,109.47652860639765
607,109.4746776833477
608,109.47282676029778
609,109.47097583724783
610,109.4691249141979
611,109.46727399114796
612,109.46542306809802
613,109.46357214504809
614,109.46172122199815
615,109.45987029894822
616,109.45801937589827
617,109.45616845284833
618,109.4543175297984
619,109.45246660674846
620,109.45061568369853
621,109.44876476064859
622,109.44691383759864
623,109.44506291454871
624,109.44321199149877
625,109.44136106844884
626,109.4395101453989
627,109.43765922234896
628,109.43580829929903
629,109.43395737624908
630,109.43210645319915
631,109.43025553014921
632,109.42840460709928
633,109.42655368404934
634,109.4247027609994
635,109.42285183794947
636,109.42100091489952
637,109.4191499918496
638,109.41729906879965
639,109.4154481457497
640,109.41359722269978
641,109.41174629964983
642,109.4098953765999
643,109.40804445354996
644,109.40619353050002
645,109.40434260745009
646,109.40249168440015
647,109.40064076135022
648,109.39878983830027
649,109.39693891525033
650,109.3950879922004
651,109.39323706915046
652,109.39138614610053
653,109.38953522305059
654,109.38768430000064
655,109.38583337695071
656,109.38398245390077
657,109.38213153085084
658,109.3802806078009
659,109.37842968475096
660,109.37657876170103
661,109.37472783865108
662,109.37287691560115
663,109.37102599255121
664,109.36917506950127
665,109.36732414645134
666,109.3654732234014
667,109.36362230035147
668,109.36177137730152
669,109.35992045425158
670,109.35806953120165
671,109.3562186081517
672,109.35436768510178
673,109.35251676205183
674,109.35066583900189
675,109.34881491595196
676,109.34696399290202
677,109.34511306985209
678,109.34326214680215
679,109.3414112237522
680,109.33956030070227
681,109.33770937765233
682,109.3358584546024
683,109.33400753155246
684,109.33215660850252
685,109.33030568545259
686,109.32845476240264
687,109.32660383935271
688,109.32475291630277
689,109.32290199325283
690,109.3210510702029
691,109.31920014715296
692,109.31734922410303
693,109.31549830105308
694,109.31364737800314
695,109.31179645495321
696,109.30994553190327
697,109.30809460885334
698,109.3062436858034
699,109.30439276275345
700,109.30254183970352
701,109.30069091665358
702,109.29883999360365
703,109.2969890705537
704,109.29513814750376
705,109.29328722445383
706,109.29143630140389
707,109.28958537835396
708,109.28773445530402
709,109.28588353225408
710,109.28403260920415
711,109.2821816861542
712,109.28033076310427
713,109.27847984005433
714,109.2766289170044
715,109.27477799395446
716,109.27292707090452
717,109.27107614785459
718,109.26922522480464
719,109.26737430175471
720,109.26552337870477
721,109.26367245565483
722,109.2618215326049
723,109.25997060955495
724,109.25811968650503
725,109.25626876345508
726,109.25441784040514
727,109.25256691735521
728,109.25071599430527
729,109.24886507125534
730,109.2470141482054
731,109.24516322515545
732,109.24331230210552
733,109.24146137905558
734,109.23961045600565
735,109.2377595329557
736,109.23590860990576
737,109.23405768685583
738,109.23220676380589
