,0
0,7.226747102367369
1,7.245959382908515
2,7.26517166344966
3,7.284383943990806
4,7.303596224531951
5,7.322808505073096
6,7.342020785614242
7,7.361233066155387
8,7.380445346696533
9,7.399657627237679
10,7.4188699077788245
11,7.43808218831997
12,7.457294468861115
13,7.476506749402261
14,7.495719029943406
15,7.514931310484552
16,7.534143591025697
17,7.5533558715668425
18,7.572568152107988
19,7.591780432649133
20,7.610992713190279
21,7.630204993731424
22,7.64941727427257
23,7.668629554813715
24,7.6878418353548605
25,7.707054115896006
26,7.726266396437152
27,7.745478676978298
28,7.764690957519443
29,7.783903238060589
30,7.803115518601734
31,7.8223277991428795
32,7.841540079684025
33,7.86075236022517
34,7.879964640766316
35,7.899176921307461
36,7.918389201848607
37,7.937601482389752
38,7.9568137629308975
39,7.976026043472043
40,7.995238324013188
41,8.014450604554334
42,8.03366288509548
43,8.052875165636625
44,8.07208744617777
45,8.091299726718916
46,8.110512007260061
47,8.129724287801206
48,8.148936568342352
49,8.168148848883497
50,8.187361129424643
51,8.206573409965788
52,8.225785690506935
53,8.244997971048079
54,8.264210251589226
55,8.283422532130372
56,8.302634812671517
57,8.321847093212662
58,8.341059373753808
59,8.360271654294953
60,8.379483934836099
61,8.398696215377244
62,8.41790849591839
63,8.437120776459535
64,8.45633305700068
65,8.475545337541826
66,8.494757618082971
67,8.513969898624117
68,8.533182179165262
69,8.552394459706408
70,8.571606740247553
71,8.590819020788699
72,8.610031301329844
73,8.62924358187099
74,8.648455862412135
75,8.66766814295328
76,8.686880423494426
77,8.706092704035571
78,8.725304984576717
79,8.744517265117862
80,8.763729545659007
81,8.782941826200153
82,8.802154106741298
83,8.821366387282444
84,8.84057866782359
85,8.859790948364736
86,8.87900322890588
87,8.898215509447027
88,8.917427789988173
89,8.936640070529318
90,8.955852351070464
91,8.975064631611609
92,8.994276912152754
93,9.0134891926939
94,9.032701473235045
95,9.05191375377619
96,9.071126034317336
97,9.090338314858482
98,9.109550595399627
99,9.128762875940772
100,9.147975156481918
101,9.167187437023063
102,9.186399717564209
103,9.205611998105354
104,9.2248242786465
105,9.244036559187645
106,9.26324883972879
107,9.282461120269936
108,9.301673400811081
109,9.320885681352227
110,9.340097961893372
111,9.359310242434518
112,9.378522522975663
113,9.397734803516808
114,9.416947084057954
115,9.4361593645991
116,9.455371645140247
117,9.47458392568139
118,9.493796206222537
119,9.513008486763681
120,9.532220767304828
121,9.551433047845972
122,9.57064532838712
123,9.589857608928263
124,9.60906988946941
125,9.628282170010555
126,9.6474944505517
127,9.666706731092846
128,9.685919011633992
129,9.705131292175137
130,9.724343572716283
131,9.743555853257428
132,9.762768133798573
133,9.781980414339719
134,9.801192694880864
135,9.82040497542201
136,9.839617255963155
137,9.8588295365043
138,9.878041817045446
139,9.897254097586591
140,9.916466378127737
141,9.935678658668882
142,9.954890939210028
143,9.974103219751173
144,9.993315500292319
145,10.012527780833464
146,10.03174006137461
147,10.050952341915755
148,10.0701646224569
149,10.089376902998046
150,10.108589183539191
151,10.127801464080338
152,10.147013744621482
153,10.16622602516263
154,10.185438305703773
155,10.20465058624492
156,10.223862866786064
157,10.243075147327211
158,10.262287427868356
159,10.281499708409502
160,10.300711988950647
161,10.319924269491793
162,10.339136550032938
163,10.358348830574084
164,10.377561111115229
165,10.396773391656374
166,10.41598567219752
167,10.435197952738665
168,10.45441023327981
169,10.473622513820956
170,10.492834794362102
171,10.512047074903247
172,10.531259355444393
173,10.550471635985538
174,10.569683916526683
175,10.588896197067829
176,10.608108477608974
177,10.62732075815012
178,10.646533038691265
179,10.66574531923241
180,10.684957599773556
181,10.704169880314701
182,10.723382160855847
183,10.742594441396992
184,10.76180672193814
185,10.781019002479283
186,10.80023128302043
187,10.819443563561574
188,10.838655844102721
189,10.857868124643865
190,10.877080405185012
191,10.896292685726156
192,10.915504966267303
193,10.934717246808448
194,10.953929527349594
195,10.97314180789074
196,10.992354088431885
197,11.01156636897303
198,11.030778649514176
199,11.049990930055321
200,11.069203210596466
201,11.088415491137612
202,11.107627771678757
203,11.126840052219903
204,11.146052332761048
205,11.165264613302194
206,11.184476893843339
207,11.203689174384484
208,11.22290145492563
209,11.242113735466775
210,11.26132601600792
211,11.280538296549066
212,11.299750577090212
213,11.318962857631357
214,11.338175138172502
215,11.35738741871365
216,11.376599699254793
217,11.39581197979594
218,11.415024260337084
219,11.434236540878231
220,11.453448821419375
221,11.472661101960522
222,11.491873382501666
223,11.511085663042813
224,11.530297943583957
225,11.549510224125104
226,11.568722504666248
227,11.587934785207395
228,11.607147065748538
229,11.626359346289686
230,11.64557162683083
231,11.664783907371977
232,11.683996187913122
233,11.703208468454267
234,11.722420748995413
235,11.741633029536558
236,11.760845310077704
237,11.78005759061885
238,11.799269871159995
239,11.81848215170114
240,11.837694432242285
241,11.856906712783431
242,11.876118993324576
243,11.895331273865722
244,11.914543554406867
245,11.933755834948013
246,11.952968115489158
247,11.972180396030303
248,11.99139267657145
249,12.010604957112594
250,12.029817237653742
251,12.049029518194885
252,12.068241798736032
253,12.087454079277176
254,12.106666359818323
255,12.125878640359467
256,12.145090920900614
257,12.164303201441758
258,12.183515481982905
259,12.202727762524049
260,12.221940043065196
261,12.24115232360634
262,12.260364604147487
263,12.27957688468863
264,12.298789165229778
265,12.318001445770923
266,12.337213726312068
267,12.356426006853214
268,12.37563828739436
269,12.394850567935505
270,12.41406284847665
271,12.433275129017796
272,12.452487409558941
273,12.471699690100086
274,12.490911970641232
275,12.510124251182377
276,12.529336531723523
277,12.548548812264668
278,12.567761092805814
279,12.586973373346959
280,12.606185653888105
281,12.62539793442925
282,12.644610214970395
283,12.663822495511543
284,12.683034776052686
285,12.702247056593833
286,12.721459337134977
287,12.740671617676124
288,12.759883898217268
289,12.779096178758415
290,12.798308459299559
291,12.817520739840706
292,12.83673302038185
293,12.855945300922997
294,12.87515758146414
295,12.894369862005288
296,12.913582142546431
297,12.932794423087579
298,12.952006703628722
299,12.97121898416987
300,12.990431264711015
301,13.00964354525216
302,13.028855825793306
303,13.048068106334451
304,13.067280386875597
305,13.086492667416742
306,13.105704947957888
307,13.124917228499033
308,13.144129509040178
309,13.163341789581324
310,13.18255407012247
311,13.201766350663615
312,13.22097863120476
313,13.240190911745906
314,13.259403192287051
315,13.278615472828196
316,13.297827753369344
317,13.317040033910487
318,13.336252314451635
319,13.355464594992778
320,13.374676875533925
321,13.393889156075069
322,13.413101436616216
323,13.43231371715736
324,13.451525997698507
325,13.47073827823965
326,13.489950558780798
327,13.509162839321942
328,13.528375119863089
329,13.547587400404232
330,13.56679968094538
331,13.586011961486523
332,13.60522424202767
333,13.624436522568816
334,13.643648803109961
335,13.662861083651107
336,13.682073364192252
337,13.701285644733398
338,13.720497925274543
339,13.739710205815689
340,13.758922486356834
341,13.77813476689798
342,13.797347047439125
343,13.81655932798027
344,13.835771608521416
345,13.854983889062561
346,13.874196169603707
347,13.893408450144852
348,13.912620730685997
349,13.931833011227143
350,13.951045291768288
351,13.970257572309436
352,13.98946985285058
353,14.008682133391726
354,14.02789441393287
355,14.047106694474017
356,14.066318975015161
357,14.085531255556308
358,14.104743536097452
359,14.123955816638599
360,14.143168097179743
361,14.16238037772089
362,14.181592658262034
363,14.20080493880318
364,14.220017219344324
365,14.239229499885472
366,14.258441780426615
367,14.277654060967762
368,14.296866341508908
369,14.316078622050053
370,14.335290902591199
371,14.354503183132344
372,14.37371546367349
373,14.392927744214635
374,14.41214002475578
375,14.431352305296926
376,14.450564585838071
377,14.469776866379217
378,14.488989146920362
379,14.508201427461508
380,14.527413708002653
381,14.546625988543799
382,14.565838269084944
383,14.58505054962609
384,14.604262830167235
385,14.62347511070838
386,14.642687391249527
387,14.661899671790671
388,14.681111952331818
389,14.700324232872962
390,14.71953651341411
391,14.738748793955253
392,14.7579610744964
393,14.777173355037544
394,14.796385635578691
395,14.815597916119835
396,14.834810196660982
397,14.854022477202125
398,14.873234757743273
399,14.892447038284416
400,14.911659318825564
401,14.930871599366707
402,14.950083879907854
403,14.969296160449
404,14.988508440990145
405,15.00772072153129
406,15.026933002072436
407,15.046145282613582
408,15.065357563154727
409,15.084569843695872
410,15.103782124237018
411,15.122994404778163
412,15.142206685319309
413,15.161418965860454
414,15.1806312464016
415,15.199843526942745
416,15.21905580748389
417,15.238268088025036
418,15.257480368566181
419,15.276692649107327
420,15.295904929648472
421,15.315117210189618
422,15.334329490730763
423,15.353541771271908
424,15.372754051813054
425,15.3919663323542
426,15.411178612895345
427,15.430390893436492
428,15.449603173977637
429,15.468815454518783
430,15.488027735059928
431,15.507240015601074
432,15.526452296142219
433,15.545664576683365
434,15.56487685722451
435,15.584089137765655
436,15.6033014183068
437,15.622513698847946
438,15.641725979389092
439,15.660938259930237
440,15.680150540471383
441,15.699362821012528
442,15.718575101553673
443,15.737787382094819
444,15.756999662635964
445,15.77621194317711
446,15.795424223718255
447,15.8146365042594
448,15.833848784800546
449,15.853061065341691
450,15.872273345882837
451,15.891485626423982
452,15.910697906965128
453,15.929910187506273
454,15.949122468047419
455,15.968334748588564
456,15.98754702912971
457,16.006759309670855
458,16.025971590212002
459,16.045183870753146
460,16.06439615129429
461,16.083608431835437
462,16.102820712376584
463,16.12203299291773
464,16.141245273458875
465,16.16045755400002
466,16.179669834541166
467,16.198882115082313
468,16.218094395623456
469,16.2373066761646
470,16.256518956705747
471,16.275731237246895
472,16.294943517788038
473,16.314155798329182
474,16.33336807887033
475,16.352580359411476
476,16.37179263995262
477,16.391004920493764
478,16.41021720103491
479,16.429429481576058
480,16.4486417621172
481,16.467854042658345
482,16.487066323199493
483,16.50627860374064
484,16.525490884281783
485,16.544703164822927
486,16.563915445364074
487,16.58312772590522
488,16.602340006446365
489,16.62155228698751
490,16.640764567528656
491,16.659976848069803
492,16.679189128610947
493,16.69840140915209
494,16.717613689693238
495,16.736825970234385
496,16.756038250775532
497,16.775250531316676
498,16.79446281185782
499,16.813675092398967
500,16.832887372940114
501,16.852099653481257
502,16.8713119340224
503,16.89052421456355
504,16.909736495104696
505,16.92894877564584
506,16.948161056186983
507,16.96737333672813
508,16.986585617269277
509,17.00579789781042
510,17.025010178351565
511,17.044222458892712
512,17.06343473943386
513,17.082647019975003
514,17.101859300516146
515,17.121071581057294
516,17.14028386159844
517,17.159496142139584
518,17.178708422680728
519,17.197920703221875
520,17.217132983763022
521,17.236345264304166
522,17.25555754484531
523,17.274769825386457
524,17.293982105927604
525,17.313194386468748
526,17.33240666700989
527,17.35161894755104
528,17.370831228092186
529,17.39004350863333
530,17.409255789174477
531,17.42846806971562
532,17.447680350256768
533,17.466892630797915
534,17.48610491133906
535,17.505317191880202
536,17.52452947242135
537,17.543741752962497
538,17.56295403350364
539,17.582166314044784
540,17.60137859458593
541,17.62059087512708
542,17.639803155668222
543,17.659015436209366
544,17.678227716750513
545,17.69743999729166
546,17.716652277832804
547,17.735864558373947
548,17.755076838915095
549,17.774289119456242
550,17.793501399997385
551,17.81271368053853
552,17.831925961079676
553,17.851138241620824
554,17.870350522161967
555,17.88956280270311
556,17.908775083244258
557,17.927987363785405
558,17.94719964432655
559,17.966411924867693
560,17.98562420540884
561,18.004836485949987
562,18.02404876649113
563,18.043261047032274
564,18.06247332757342
565,18.08168560811457
566,18.100897888655716
567,18.12011016919686
568,18.139322449738003
569,18.15853473027915
570,18.177747010820298
571,18.19695929136144
572,18.216171571902585
573,18.235383852443732
574,18.25459613298488
575,18.273808413526023
576,18.293020694067167
577,18.312232974608314
578,18.33144525514946
579,18.350657535690605
580,18.36986981623175
581,18.389082096772896
582,18.408294377314043
583,18.427506657855186
584,18.44671893839633
585,18.465931218937477
586,18.485143499478625
587,18.504355780019768
588,18.523568060560912
589,18.54278034110206
590,18.561992621643206
591,18.58120490218435
592,18.600417182725494
593,18.61962946326664
594,18.638841743807788
595,18.65805402434893
596,18.677266304890075
597,18.696478585431223
598,18.71569086597237
599,18.734903146513517
600,18.75411542705466
601,18.773327707595804
602,18.79253998813695
603,18.8117522686781
604,18.830964549219242
605,18.850176829760386
606,18.869389110301533
607,18.88860139084268
608,18.907813671383824
609,18.927025951924968
610,18.946238232466115
611,18.965450513007262
612,18.984662793548406
613,19.00387507408955
614,19.023087354630697
615,19.042299635171844
616,19.061511915712988
617,19.08072419625413
618,19.09993647679528
619,19.119148757336426
620,19.13836103787757
621,19.157573318418713
622,19.17678559895986
623,19.195997879501007
624,19.21521016004215
625,19.234422440583295
626,19.253634721124442
627,19.27284700166559
