,0
0,17.66918819216666
1,17.681179802031313
2,17.69317141189596
3,17.70516302176061
4,17.717154631625263
5,17.72914624148991
6,17.741137851354562
7,17.753129461219213
8,17.76512107108386
9,17.777112680948512
10,17.78910429081316
11,17.80109590067781
12,17.813087510542463
13,17.82507912040711
14,17.837070730271762
15,17.849062340136413
16,17.86105395000106
17,17.873045559865712
18,17.885037169730364
19,17.89702877959501
20,17.909020389459663
21,17.921011999324314
22,17.93300360918896
23,17.944995219053613
24,17.956986828918264
25,17.968978438782912
26,17.980970048647563
27,17.99296165851221
28,18.004953268376862
29,18.016944878241514
30,18.02893648810616
31,18.040928097970813
32,18.052919707835464
33,18.064911317700112
34,18.076902927564763
35,18.088894537429415
36,18.100886147294062
37,18.112877757158714
38,18.124869367023365
39,18.136860976888013
40,18.148852586752664
41,18.160844196617315
42,18.172835806481963
43,18.184827416346614
44,18.196819026211262
45,18.208810636075913
46,18.220802245940565
47,18.232793855805213
48,18.244785465669864
49,18.256777075534515
50,18.268768685399163
51,18.280760295263814
52,18.292751905128465
53,18.304743514993113
54,18.316735124857765
55,18.328726734722416
56,18.340718344587064
57,18.352709954451715
58,18.364701564316366
59,18.376693174181014
60,18.388684784045665
61,18.400676393910313
62,18.412668003774964
63,18.424659613639616
64,18.436651223504263
65,18.448642833368915
66,18.460634443233566
67,18.472626053098214
68,18.484617662962865
69,18.496609272827516
70,18.508600882692164
71,18.520592492556816
72,18.532584102421467
73,18.544575712286115
74,18.556567322150766
75,18.568558932015417
76,18.580550541880065
77,18.592542151744716
78,18.604533761609364
79,18.616525371474015
80,18.628516981338667
81,18.640508591203314
82,18.652500201067966
83,18.664491810932617
84,18.676483420797265
85,18.688475030661916
86,18.700466640526567
87,18.712458250391215
88,18.724449860255866
89,18.736441470120518
90,18.748433079985166
91,18.760424689849817
92,18.772416299714465
93,18.784407909579116
94,18.796399519443767
95,18.808391129308415
96,18.820382739173066
97,18.832374349037718
98,18.844365958902365
99,18.856357568767017
100,18.868349178631668
101,18.880340788496316
102,18.892332398360967
103,18.90432400822562
104,18.916315618090266
105,18.928307227954917
106,18.94029883781957
107,18.952290447684216
108,18.964282057548868
109,18.976273667413516
110,18.988265277278167
111,19.000256887142818
112,19.012248497007466
113,19.024240106872117
114,19.03623171673677
115,19.048223326601416
116,19.060214936466068
117,19.07220654633072
118,19.084198156195367
119,19.096189766060018
120,19.10818137592467
121,19.120172985789317
122,19.13216459565397
123,19.14415620551862
124,19.156147815383267
125,19.16813942524792
126,19.180131035112566
127,19.192122644977218
128,19.20411425484187
129,19.216105864706517
130,19.228097474571168
131,19.24008908443582
132,19.252080694300467
133,19.26407230416512
134,19.27606391402977
135,19.288055523894418
136,19.30004713375907
137,19.31203874362372
138,19.324030353488368
139,19.33602196335302
140,19.34801357321767
141,19.36000518308232
